"date","energy_label","main_refinancing_rate"
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
2023-06-02,"B",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"D",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"E",3.75
2023-06-02,"B",3.75
2023-06-02,"E",3.75
2023-06-02,"B",3.75
2023-06-02,"D",3.75
2023-06-02,"B",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"B",3.75
2023-06-02,"C",3.75
2023-06-02,"E",3.75
2023-06-02,"≥A",3.75
2023-06-02,"D",3.75
2023-06-02,"D",3.75
2023-06-02,"D",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
2023-06-02,"D",3.75
2023-06-02,"D",3.75
2023-06-02,"F",3.75
2023-06-02,"D",3.75
2023-06-02,"F",3.75
2023-06-02,"≥A",3.75
2023-06-02,"B",3.75
2023-06-02,"≥A",3.75
2023-06-02,"B",3.75
2023-06-02,"B",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"D",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"B",3.75
2023-06-02,"C",3.75
2023-06-02,"E",3.75
2023-06-02,"B",3.75
2023-06-02,"B",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
